id_nota,cedula,programa,grupo,materia,docente,corte,tipo_actividad,peso_pct,nota,fecha_evaluacion
N0001,1078049672,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,3.0,2025-02-17
N0002,1078049672,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,3.7,2025-03-06
N0003,1078049672,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.6,2025-04-02
N0004,1078049672,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial (ausente),20,,2025-04-09
N0005,1078049672,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,3.4,2025-05-19
N0006,1078049672,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.6,2025-05-28
N0007,1078049672,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,3.2,2025-03-12
N0008,1078049672,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,3.2,2025-03-16
N0009,1078049672,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.5,2025-04-17
N0010,1078049672,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial (ausente),20,,2025-03-26
N0011,1078049672,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,2.6,2025-06-06
N0012,1078049672,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,3.4,2025-05-24
N0013,1175022528,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,4.6,2025-02-13
N0014,1175022528,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,4.3,2025-03-09
N0015,1175022528,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,4.3,2025-04-02
N0016,1175022528,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,3.9,2025-05-02
N0017,1175022528,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,3.9,2025-05-21
N0018,1175022528,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.9,2025-05-06
N0019,1175022528,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,3.6,2025-02-10
N0020,1175022528,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,3.6,2025-03-03
