codigo_estudiante,nombre,correo,telefono,programa
2021001,Laura Milena Castaño Ríos,laura.castano@gmail.com,3142567890,Tecnología en Gestión Empresarial
2021002,Andrés Felipe Mosquera Parra,andres.mosquera@gmail.com,3156789012,Técnico en Contabilidad
2021003,Valentina Torres Gómez,valentina.torres@gmail.com,3108901234,Técnico en Mercadeo
2021004,Juan David Salcedo Muñoz,juan.salcedo@gmail.com,3123456789,Tecnología en Comercio Exterior
2021005,María Alejandra Rentería Cruz,maria.renteria@gmail.com,3134567890,Técnico en Contabilidad
2021006,Sebastián Orozco Lozano,sebastian.orozco@gmail.com,3145678901,Técnico en Mercadeo
2021007,Camila Andrea Vargas Soto,camila.vargas@gmail.com,3167890123,Tecnología en Gestión Empresarial
2021008,Diego Alejandro Patiño Herrera,diego.patino@gmail.com,3178901234,Técnico en Administración
2021009,Isabella Moreno Zapata,isabella.moreno@gmail.com,3189012345,Técnico en Contabilidad
2021010,Nicolás Restrepo Cardona,nicolas.restrepo@gmail.com,3190123456,Tecnología en Comercio Exterior
